DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 01:12:35,400,206,0,1239.15,532.591,103,127,13081,0,0,408.976,999.374
2025-01-05 01:12:38,500,258,0,2854.306,1040.312,129,127,16383,0,0,1197.384,2437.806
2025-01-05 01:12:40,500,180,0,2263.361,880.5,90,127,11430,0,0,675.317,2228.467
2025-01-05 01:12:43,600,317,0,2904.416,1986.245,158.5,127,20129.5,0,0,1051.937,2603.486
2025-01-05 01:12:45,600,381,0,3089.47,2256.504,190.5,127,24193.5,0,0,855.9,2345.042
2025-01-05 01:12:47,700,449,0,3007.568,1695.043,224.5,127,28511.5,0,0,680.374,2407.234
2025-01-05 01:12:49,700,299,0,3834.796,1582.439,149.5,127,18986.5,0,0,629.385,3407.933
2025-01-05 01:12:51,800,214,0,4443.168,1253.46,107,127,13589,0,0,380.336,3991.855
2025-01-05 01:12:53,800,164,0,5889.652,854.813,82,127,10414,0,0,346.97,5895.518
2025-01-05 01:12:55,800,337,0,6009.172,527.817,168.5,127,21399.5,0,0,353.338,5992.849
2025-01-05 01:12:58,800,362,0,4027.829,912.922,181,127,22987,0,0,109.895,4023.956
2025-01-05 01:13:00,800,313,0,5035.438,2370.143,156.5,127,19875.5,0,0,880.042,4438.534
2025-01-05 01:13:02,800,555,0,5166.016,1302.743,277.5,127,35242.5,0,0,593.384,5118.726
2025-01-05 01:13:04,800,462,0,3548.835,322.08,231,127,29337,0,0,131.781,3546.223
2025-01-05 01:13:06,800,288,0,3352.924,135.859,144,127,18288,0,0,23.542,3332.528
2025-01-05 01:13:08,800,434,0,4276.553,178.069,217,127,27559,0,0,20.237,4263.244
