DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 01:52:01,400,15,0,11748.733,521.256,7.5,2536864,19026480,0,0,748.667,19385.333
2025-01-05 01:52:03,600,8,0,14941.75,742.437,4,2536864,10147456,0,0,622.875,7493.375
2025-01-05 01:52:05,600,8,0,18106.125,291.21,4,2536864,10147456,0,0,357.125,17054.875
2025-01-05 01:52:07,700,3,0,19907.333,686.346,1.5,2536864,3805296,0,0,357,58892.667
2025-01-05 01:52:09,700,17,0,21710.235,480.585,8.5,2536864,21563344,0,0,1133.353,6000.882
2025-01-05 01:52:11,700,13,0,24077.615,838.815,6.5,2536864,16489616,0,0,790.385,16451.308
2025-01-05 01:52:13,700,3,0,25828.667,156.619,1.5,2536864,3805296,0,0,1587,41866
2025-01-05 01:52:16,700,15,0,27848.867,687.864,7.5,2536864,19026480,0,0,1838.333,20180.4
2025-01-05 01:52:18,700,5,0,30070.4,376.478,2.5,2536864,6342160,0,0,2171.2,24253.8
2025-01-05 01:52:20,700,11,0,32110.636,667.809,5.5,2536864,13952752,0,0,2131,23102.909
2025-01-05 01:52:23,700,2,0,33301.5,18.5,1,2536864,2536864,0,0,2445,2445
2025-01-05 01:52:25,700,3,0,28372.333,73.866,1.5,2536864,3805296,0,0,1526,121889.333
2025-01-05 01:52:27,700,4,0,30233.75,587.746,2,2536864,5073728,0,0,1837.75,37010.75
