DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 01:38:25,200,203,0,1179.675,329.182,101.5,127,12890.5,0,0,309.847,1064.246
2025-01-05 01:38:27,200,259,0,799.12,296.3,129.5,127,16446.5,0,0,303.332,783.973
2025-01-05 01:38:29,200,346,0,1548.618,1167.22,173,127,21971,0,0,458.858,1193.405
2025-01-05 01:38:31,500,417,0,1023.309,339.776,208.5,127,26479.5,0,0,214.213,1016.576
2025-01-05 01:38:33,700,355,0,875.406,410.997,177.5,127,22542.5,0,0,276.563,868.887
2025-01-05 01:38:35,700,457,0,903.672,427.097,228.5,127,29019.5,0,0,281.337,889.619
2025-01-05 01:38:37,800,456,0,2741.553,1463.548,228,127,28956,0,0,1045.138,2385.8
2025-01-05 01:38:39,800,401,0,3198.833,1658.2,200.5,127,25463.5,0,0,933.252,2901.948
2025-01-05 01:38:41,800,574,0,3546.941,1482.092,287,127,36449,0,0,704.916,3254.953
2025-01-05 01:38:43,800,643,0,2813.692,987.428,321.5,127,40830.5,0,0,575.785,2744.784
2025-01-05 01:38:45,800,432,0,2761.25,425.974,216,127,27432,0,0,116.118,2753.109
2025-01-05 01:38:48,1000,477,0,3467.811,216.482,238.5,127,30289.5,0,0,56.683,3456.468
2025-01-05 01:38:50,1000,285,0,3861.958,279.422,142.5,127,18097.5,0,0,25.965,3840.393
2025-01-05 01:38:52,1000,355,0,4597.251,272.47,177.5,127,22542.5,0,0,56.758,4587.008
2025-01-05 01:38:54,1000,433,0,4521.363,298.035,216.5,127,27495.5,0,0,106.06,4513.855
2025-01-05 01:38:56,1000,689,0,4232.599,931.575,344.5,127,43751.5,0,0,270.206,4132.106
2025-01-05 01:38:58,1000,436,0,3842.099,267.274,218,127,27686,0,0,50.433,3834.697
2025-01-05 01:39:00,1000,615,0,4238.096,121.537,307.5,127,39052.5,0,0,42.407,4235.613
2025-01-05 01:39:02,1000,594,0,3796.3,357.172,297,127,37719,0,0,27.409,3793.983
2025-01-05 01:39:04,1000,552,0,3536.178,139.167,276,127,35052,0,0,8.625,3539.728
2025-01-05 01:39:06,1000,537,0,3679.628,158.524,268.5,127,34099.5,0,0,9.33,3670.128
