DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 02:18:41,500,9,0,6992.333,698.798,4.5,2536864,11415888,0,0,433.111,13524
2025-01-05 02:18:43,600,4,0,9394.75,111.356,2,2536864,5073728,0,0,459.5,15836
2025-01-05 02:18:45,600,15,0,11275.133,1114.412,7.5,2536864,19026480,0,0,452.467,8127.933
2025-01-05 02:18:47,800,7,0,14160.857,383.288,3.5,2536864,8879024,0,0,432.143,2293.143
2025-01-05 02:18:49,800,3,0,15972.667,594.85,1.5,2536864,3805296,0,0,496.667,51070.333
2025-01-05 02:18:51,800,20,0,17762.35,430.367,10,2536864,25368640,0,0,446.35,4685.4
2025-01-05 02:18:53,900,8,0,20500.5,859.851,4,2536864,10147456,0,0,433.125,27006.875
2025-01-05 02:18:56,1000,11,1,22394.545,567.945,5.5,2536864,13952752,0,0,444.091,14151
2025-01-05 02:18:58,1000,4,0,24840,454.411,2,2536864,5073728,0,0,496.75,47225.5
2025-01-05 02:19:00,1000,13,0,26244.077,744.779,6.5,2536864,16489616,0,0,508.538,20358.769
2025-01-05 02:19:02,1000,4,0,28110.5,285.298,2,2536864,5073728,0,0,568.75,14067.5
2025-01-05 02:19:05,1000,2,0,30336,185,1,2536864,2536864,0,0,519.5,29425
2025-01-05 02:19:07,1000,9,80,33606.667,840.769,4.5,2536864,11415888,0,0,1882.333,75494.333
2025-01-05 02:19:09,1000,8,0,35701.625,550.723,4,2536864,10147456,0,0,2106.375,2106.375
2025-01-05 02:19:11,1000,7,1,33693.429,2771.444,3.5,2536864,8879024,0,0,796.571,22514.429
2025-01-05 02:19:13,1000,9,12,33759.111,1208.173,4.5,2536864,11415888,0,0,1142.333,36764.667
