DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-08 07:00:14,500,3,0,6485,425.706,1.5,2536864,3805296,0,0,294.667,33588
2025-01-08 07:00:17,500,15,0,9720.933,1247.04,7.5,2536864,19026480,0,0,324.2,9585.267
2025-01-08 07:00:19,700,7,0,11793.714,569.849,3.5,2536864,8879024,0,0,274.143,12193.286
2025-01-08 07:00:21,800,10,0,13720.6,472.696,5,2536864,12684320,0,0,294.9,8242.7
2025-01-08 07:00:23,900,9,0,16163.333,548.32,4.5,2536864,11415888,0,0,311.222,22760.444
2025-01-08 07:00:25,1000,14,0,17276.357,335.958,7,2536864,17758048,0,0,322.786,2737.786
2025-01-08 07:00:28,1000,18,0,19926.056,534.791,9,2536864,22831776,0,0,335.111,15272
2025-01-08 07:00:30,1000,12,0,21948.5,649.571,6,2536864,15221184,0,0,336.917,16651.333
2025-01-08 07:00:32,1000,9,0,23756.222,487.804,4.5,2536864,11415888,0,0,289.889,15901.556
2025-01-08 07:00:34,1000,8,0,24790,843.481,4,2536864,10147456,0,0,295,41427.125
2025-01-08 07:00:36,1000,11,0,25625.818,525.101,5.5,2536864,13952752,0,0,470.273,20910
2025-01-08 07:00:38,1000,14,0,28163.143,844.648,7,2536864,17758048,0,0,447.5,23812
2025-01-08 07:00:41,1000,14,0,30670.429,716.833,7,2536864,17758048,0,0,485.429,30238
2025-01-08 07:00:43,1000,9,0,32732.667,668.642,4.5,2536864,11415888,0,0,503.444,36104.667
2025-01-08 07:00:45,1000,11,0,34919.545,503.751,5.5,2536864,13952752,0,0,514.455,31256.182
2025-01-08 07:00:47,1000,13,0,36591.615,523.561,6.5,2536864,16489616,0,0,566.154,33700.615
2025-01-08 07:00:49,1000,10,0,38987.2,449.204,5,2536864,12684320,0,0,571.4,46126
