DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 01:15:59,400,137,0,1348.423,387.081,68.5,127,8699.5,0,0,582.007,1278.438
2025-01-05 01:16:01,600,192,0,3515.755,1040.919,96,127,12192,0,0,985.026,3294.318
2025-01-05 01:16:03,700,188,0,3727.149,1351.591,94,127,11938,0,0,534.867,3651.181
2025-01-05 01:16:05,800,196,0,3274.694,789.775,98,127,12446,0,0,403.214,3196.071
2025-01-05 01:16:07,800,278,0,3910.288,1405.991,139,127,17653,0,0,975.777,3752.137
2025-01-05 01:16:09,800,346,0,5207.659,1933.102,173,127,21971,0,0,1323.038,4527.078
2025-01-05 01:16:12,800,440,0,4687.982,1577.556,220,127,27940,0,0,931.67,4504.677
2025-01-05 01:16:14,800,478,0,4142.649,865.261,239,127,30353,0,0,378.427,3983.944
2025-01-05 01:16:16,1000,421,0,3859.116,369.661,210.5,127,26733.5,0,0,106.413,3850.499
2025-01-05 01:16:18,1000,294,0,4090.476,277.312,147,127,18669,0,0,53.224,4092.83
2025-01-05 01:16:20,1000,470,0,4221.957,182.839,235,127,29845,0,0,34.1,4197.528
2025-01-05 01:16:22,1000,308,0,4538.153,730.45,154,127,19558,0,0,319.737,4616.919
2025-01-05 01:16:24,1000,542,0,5385.247,800.252,271,127,34417,0,0,366.118,5520.234
2025-01-05 01:16:26,1000,686,0,3916.894,655.128,343,127,43561,0,0,16.931,3940.915
2025-01-05 01:16:28,1000,504,0,3313.536,184.377,252,127,32004,0,0,21.69,3315.845
2025-01-05 01:16:30,1000,593,0,3396.007,131.124,296.5,127,37655.5,0,0,22.779,3392.553
2025-01-05 01:16:32,1000,632,0,3402.171,135.763,316,127,40132,0,0,12.938,3397.948
2025-01-05 01:16:34,1000,611,0,3197.98,161.813,305.5,127,38798.5,0,0,18.136,3194.758
2025-01-05 01:16:36,1000,367,0,3751.234,313.066,183.5,127,23304.5,0,0,19.997,3745.054
