DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-06 11:11:48,500,3,0,7700.333,808.097,1.5,2536864,3805296,0,0,571,21204
2025-01-06 11:11:51,500,7,0,9314.857,687.389,3.5,2536864,8879024,0,0,570.429,1777.571
2025-01-06 11:11:53,600,1,0,11392,0,0.5,2536864,1268432,0,0,599,10986
2025-01-06 11:11:55,700,7,0,13750.143,442.202,3.5,2536864,8879024,0,0,641.714,12940.429
2025-01-06 11:11:57,700,2,0,15893,260,1,2536864,2536864,0,0,704,15599.5
2025-01-06 11:11:59,700,2,0,18298.5,713.5,1,2536864,2536864,0,0,884,17664.5
2025-01-06 11:12:01,700,4,0,20452.25,57.356,2,2536864,5073728,0,0,628.25,19724
2025-01-06 11:12:03,900,3,0,22248,751.221,1.5,2536864,3805296,0,0,663.667,29248
2025-01-06 11:12:05,900,6,0,24468.667,570.36,3,2536864,7610592,0,0,781.5,20427.333
2025-01-06 11:12:07,1000,4,0,26471.5,430.956,2,2536864,5073728,0,0,794,26297.5
2025-01-06 11:12:09,1000,5,0,28279.2,400.275,2.5,2536864,6342160,0,0,764,28109
2025-01-06 11:12:11,1000,5,0,30426,568.495,2.5,2536864,6342160,0,0,776.4,30232.2
2025-01-06 11:12:13,1000,6,0,32426.833,549.227,3,2536864,7610592,0,0,843.5,32252.167
2025-01-06 11:12:15,1000,4,0,34727,127.344,2,2536864,5073728,0,0,855.25,34527.5
2025-01-06 11:12:17,1000,5,0,36582,626.682,2.5,2536864,6342160,0,0,814,36397.6
