DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 02:32:03,500,6,0,8400.167,549.391,3,2536864,7610592,0,0,598.833,17906.667
2025-01-05 02:32:06,500,11,0,9822.818,340.984,5.5,2536864,13952752,0,0,678.909,4541.182
2025-01-05 02:32:08,700,10,0,12490.2,681.177,5,2536864,12684320,0,0,829.8,12773.8
2025-01-05 02:32:10,700,15,0,14694.6,697.193,7.5,2536864,19026480,0,0,795.067,7666
2025-01-05 02:32:12,700,10,0,16598.5,716.197,5,2536864,12684320,0,0,1123.1,14630.5
2025-01-05 02:32:14,700,14,0,18480.143,828.954,7,2536864,17758048,0,0,1045.286,14903.643
2025-01-05 02:32:16,800,3,0,20731.333,450.896,1.5,2536864,3805296,0,0,756.667,40560
2025-01-05 02:32:18,800,7,0,23016,415.335,3.5,2536864,8879024,0,0,874.571,28679.857
2025-01-05 02:32:20,800,13,0,24829.923,418.174,6.5,2536864,16489616,0,0,1060.462,19256.769
2025-01-05 02:32:22,900,11,0,27201,358.58,5.5,2536864,13952752,0,0,985.818,19634.545
2025-01-05 02:32:24,900,6,0,25926.833,658.929,3,2536864,7610592,0,0,1666,48974.333
2025-01-05 02:32:26,900,9,0,27098.889,583.392,4.5,2536864,11415888,0,0,1734.556,10182.111
2025-01-05 02:32:29,900,1,0,30141,0,0.5,2536864,1268432,0,0,2179,189480
2025-01-05 02:32:31,900,8,0,31599,780.076,4,2536864,10147456,0,0,1959.125,9223
2025-01-05 02:32:33,900,4,83,34531.5,522.322,2,2536864,5073728,0,0,1882.75,42138.25
