DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 02:28:07,500,15,0,11854.533,869.461,7.5,2536864,19026480,0,0,689.467,16890.733
2025-01-05 02:28:09,600,7,0,14937.571,723.256,3.5,2536864,8879024,0,0,721.571,14476.429
2025-01-05 02:28:11,700,3,0,17591.333,109.137,1.5,2536864,3805296,0,0,881,6493.333
2025-01-05 02:28:13,700,16,0,19280.25,826.308,8,2536864,20294912,0,0,688.312,14514.375
2025-01-05 02:28:16,800,10,0,21789.8,427.573,5,2536864,12684320,0,0,720.6,13201.4
2025-01-05 02:28:18,800,7,0,23908.286,633.758,3.5,2536864,8879024,0,0,856.857,26719.143
2025-01-05 02:28:20,800,11,0,25940,471.888,5.5,2536864,13952752,0,0,985.818,21473.818
2025-01-05 02:28:22,800,7,0,28203.286,545.797,3.5,2536864,8879024,0,0,1226.857,28431.857
2025-01-05 02:28:24,800,7,0,30075.429,271.452,3.5,2536864,8879024,0,0,962.429,25656.857
2025-01-05 02:28:26,800,8,5,31325,2465.989,4,2536864,10147456,0,0,1222.375,15735.25
2025-01-05 02:28:29,800,5,0,35072.4,254.018,2.5,2536864,6342160,0,0,1162,20832
2025-01-05 02:28:31,800,0,0,0,0,0,0,0,0,0,0,0
2025-01-05 02:28:33,800,1,94,32997,0,0.5,2536864,1268432,0,0,2151,2151
2025-01-05 02:28:35,800,4,4,37282.5,1268.818,2,2536864,5073728,0,0,993.75,83800.75
