DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-05 01:27:06,300,224,0,1546.04,654.347,112,127,14224,0,0,515.058,966.17
2025-01-05 01:27:08,400,309,0,1707.942,725.735,154.5,127,19621.5,0,0,530.204,1474.068
2025-01-05 01:27:10,600,540,0,1611.026,1143.991,270,127,34290,0,0,392.281,1537.839
2025-01-05 01:27:12,700,380,0,1403.779,447.399,190,127,24130,0,0,308.684,1405.582
2025-01-05 01:27:14,900,360,0,3288.658,1298.975,180,127,22860,0,0,748.322,2689.564
2025-01-05 01:27:16,900,451,6,2495.634,753.998,225.5,127,28638.5,0,0,281.838,2470.084
2025-01-05 01:27:18,900,574,0,3619.314,1324.78,287,127,36449,0,0,1047.868,3457.404
2025-01-05 01:27:20,1000,664,0,3097.783,1080.308,332,127,42164,0,0,548.495,2946.486
2025-01-05 01:27:22,1000,699,0,2793.391,475.385,349.5,127,44386.5,0,0,129.242,2774.841
2025-01-05 01:27:24,1000,691,0,2875.566,416.562,345.5,127,43878.5,0,0,144.42,2844.203
2025-01-05 01:27:27,1000,638,0,2978.541,144.364,319,127,40513,0,0,15.116,2976.149
2025-01-05 01:27:29,1000,683,0,3107.925,119.957,341.5,127,43370.5,0,0,21.548,3104.341
2025-01-05 01:27:31,1000,612,0,3014.809,40.873,306,127,38862,0,0,12.092,3011.552
2025-01-05 01:27:33,1000,701,0,3014.342,131.541,350.5,127,44513.5,0,0,11.418,3011.789
2025-01-05 01:27:35,1000,542,0,2963.71,143.792,271,127,34417,0,0,11.09,2962.227
2025-01-05 01:27:37,1000,381,0,4103.247,309.436,190.5,127,24193.5,0,0,9.055,4100.987
2025-01-05 01:27:39,1000,670,0,4232.13,331.994,335,127,42545,0,0,7.576,4231.024
2025-01-05 01:27:41,1000,644,0,3123.724,293.575,322,127,40894,0,0,6.477,3121.815
2025-01-05 01:27:43,1000,598,0,3185.112,122.705,299,127,37973,0,0,6.341,3182.595
2025-01-05 01:27:45,1000,549,0,3236.12,147.616,274.5,127,34861.5,0,0,5.878,3233.92
