DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-08 06:50:31,500,84,0,2878.369,766.007,42,1175,49350,0,0,548.167,2696.06
2025-01-08 06:50:33,700,59,0,5283.492,524.109,29.5,1175,34662.5,0,0,879.559,5148.254
2025-01-08 06:50:35,800,84,0,7040.69,795.878,42,1175,49350,0,0,1030.905,6933.262
2025-01-08 06:50:37,1000,83,0,8747.554,1078.28,41.5,1175,48762.5,0,0,795.518,8473.795
2025-01-08 06:50:39,1000,93,0,9319.086,952.981,46.5,1175,54637.5,0,0,562.774,9187.14
2025-01-08 06:50:41,1000,91,0,10149.088,542.312,45.5,1175,53462.5,0,0,449.901,10072.066
2025-01-08 06:50:43,1000,101,0,11364.277,694.415,50.5,1175,59337.5,0,0,430.99,11197.455
2025-01-08 06:50:45,1000,106,0,12548,763.972,53,1175,62275,0,0,344.745,12524.028
2025-01-08 06:50:47,1000,111,0,14047.18,843.775,55.5,1175,65212.5,0,0,353.586,14031.631
2025-01-08 06:50:49,1000,99,0,14733.172,514.383,49.5,1175,58162.5,0,0,68.111,14728.172
2025-01-08 06:50:51,1000,106,0,16006.255,815.511,53,1175,62275,0,0,423.33,15957.311
2025-01-08 06:50:53,1000,102,0,16467.255,587.047,51,1175,59925,0,0,149.461,16377.735
2025-01-08 06:50:55,1000,86,0,17855.302,714.989,43,1175,50525,0,0,232.779,17534.279
2025-01-08 06:50:57,1000,118,0,19330.78,915.914,59,1175,69325,0,0,198.61,19304.534
2025-01-08 06:50:59,1000,100,0,19533.68,1053.549,50,1175,58750,0,0,11.95,19532.11
2025-01-08 06:51:01,1000,95,0,19599.832,1345.975,47.5,1175,55812.5,0,0,15.895,19598.274
2025-01-08 06:51:03,1000,119,0,19539.765,1316.694,59.5,1175,69912.5,0,0,4.025,19538.336
2025-01-08 06:51:05,1000,108,0,19101.148,1261.877,54,1175,63450,0,0,3.259,19099.093
2025-01-08 06:51:07,1000,88,0,19229.693,1244.851,44,1175,51700,0,0,5.693,19227.091
