DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-01-08 05:14:40,600,3,0,7858.667,565.526,1.5,2536864,3805296,0,0,913,29853
2025-01-08 05:14:42,600,9,0,10918,634.192,4.5,2536864,11415888,0,0,717.889,15113.556
2025-01-08 05:14:44,600,4,0,12262.25,246.777,2,2536864,5073728,0,0,629,3548.75
2025-01-08 05:14:46,700,6,0,15137,383.994,3,2536864,7610592,0,0,727.5,20603.833
2025-01-08 05:14:49,900,8,0,17102.375,631.626,4,2536864,10147456,0,0,686,23142.375
2025-01-08 05:14:51,900,11,0,19272.545,669.357,5.5,2536864,13952752,0,0,713.091,14299.364
2025-01-08 05:14:53,900,20,0,21319.8,755.826,10,2536864,25368640,0,0,705.3,8853.2
2025-01-08 05:14:55,900,13,0,23127.615,724.675,6.5,2536864,16489616,0,0,906.462,19726.385
2025-01-08 05:14:57,900,6,0,25191.5,599.421,3,2536864,7610592,0,0,1053.5,42022.667
2025-01-08 05:14:59,900,12,0,27352.5,366.147,6,2536864,15221184,0,0,1139.75,11890
2025-01-08 05:15:01,900,8,0,29570.375,492.554,4,2536864,10147456,0,0,860.125,28801.75
2025-01-08 05:15:04,900,3,0,30926.333,1001.072,1.5,2536864,3805296,0,0,2246.667,104207
2025-01-08 05:15:06,900,17,0,33883.176,512.161,8.5,2536864,21563344,0,0,2923.059,22686.706
2025-01-08 05:15:08,900,9,0,35827.889,567.049,4.5,2536864,11415888,0,0,3037.333,28389.556
2025-01-08 05:15:10,900,6,0,37861.333,777.806,3,2536864,7610592,0,0,2997.5,67141.167
2025-01-08 05:15:12,900,14,0,40533.286,373.766,7,2536864,17758048,0,0,3182.5,26752.143
